a_m=0.0493,b_m=0.0254,c_m=0.0423,d_m=0.0058
time_s,source_pressure_pa,receiver_pressure_pa,piezo_voltage_v,piezo_voltage_envelope_v
0.0,-3.288750973294648e-21,0.0,-0.0007568807897072202,0.0007999279260400389
8.181818181818183e-09,-7.07951631223943e-08,0.0,-0.0007537850666832609,0.0007728453737287984
1.6363636363636366e-08,-1.5916932973384493e-07,-1.8932506997845674e-22,-0.0007411715447268331,0.000746140711177522
2.4545454545454547e-08,-2.6737220010259367e-07,-4.075498364310203e-09,-0.0007198086206753352,0.0007198335733290905
3.272727272727273e-08,-3.9768922442695e-07,-2.465125048643018e-08,-0.000690552118007048,0.0006939427468583586
4.090909090909092e-08,-5.523854630169168e-07,-8.181463344299322e-08,-0.0006543267538999664,0.0006684861127653738
4.9090909090909095e-08,-7.336352363128093e-07,-1.9618909360759407e-07,-0.0006121073270272228,0.0006434805932100855
5.727272727272728e-08,-9.434358746979228e-07,-3.7953867718621235e-07,-0.0005648999864513934,0.0006189421028636886
6.545454545454546e-08,-1.1835038963674026e-06,-6.299642039430036e-07,-0.0005137239258984263,0.0005948855050221808
7.363636363636364e-08,-1.455152011956627e-06,-9.356860814709937e-07,-0.00045959382489976785,0.0005713245726902067
8.181818181818183e-08,-1.7591454882780266e-06,-1.2850606573266658e-06,-0.0004035033295188907,0.0005482719548141704
9.000000000000001e-08,-2.0955366123792805e-06,-1.6757299039714632e-06,-0.00034640983147609793,0.00052573914780392
9.818181818181819e-08,-2.46347629407303e-06,-2.1165130778509398e-06,-0.00028922076640889904,0.0005037364724474693
1.0636363636363638e-07,-2.861002243627615e-06,-2.621227691368651e-06,-0.00023278161077905623,0.000482273056288059
1.1454545454545456e-07,-3.2848036754454417e-06,-3.199571073487928e-06,-0.00017786571362834775,0.00046135682149147007
1.2272727272727275e-07,-3.7299631324593184e-06,-3.851844031559648e-06,-0.00012516605508480086,0.00044099447820335674
1.3090909090909093e-07,-4.189676813644273e-06,-4.570630371424984e-06,-7.528897927825465e-05,0.00042119152334686954
1.390909090909091e-07,-4.654955731855171e-06,-5.3468328328399025e-06,-2.874990619473007e-05,0.00040195224479346454
1.4727272727272728e-07,-5.114311143408542e-06,-6.174385052453546e-06,1.4029014095218208e-05,0.0003832797307859594
1.554545454545455e-07,-5.553428984929616e-06,-7.049708714484284e-06,5.271937955699425e-05,0.0003651758844761559
1.6363636363636367e-07,-5.954839535026654e-06,-7.96667735119066e-06,8.708525588067247e-05,0.0003476414434006861
1.7181818181818185e-07,-6.297590193101097e-06,-8.911377111768999e-06,0.00011698027713293949,0.00033067600368666514
1.8000000000000002e-07,-6.556931135645915e-06,-9.860557637294871e-06,0.00014234329215760246,0.0003142780487596854
1.881818181818182e-07,-6.704025667119672e-06,-1.0784091473491112e-05,0.00016319274174439992,0.000298444982294254
1.9636363636363638e-07,-6.705699317018806e-06,-1.1648328726010541e-05,0.0001796199664747198,0.00028317316512658407
2.0454545454545458e-07,-6.524244128723494e-06,-1.241681889037839e-05,0.0001917816546439266,0.00026845795583167644
2.1272727272727276e-07,-6.117297111958149e-06,-1.3047516977527833e-05,0.00019989164382743684,0.00025429375464424043
2.2090909090909094e-07,-5.4378144521237585e-06,-1.34887312874454e-05,0.00020421228872866712,0.00024067405039334157
2.2909090909090912e-07,-4.434165737796306e-06,-1.3676961861186261e-05,0.0002050456022486229,0.00022759147010626205
2.372727272727273e-07,-3.0503751210883005e-06,-1.3537873218228553e-05,0.0002027243666871991,0.0002150378309264925
2.454545454545455e-07,-1.226538889092896e-06,-1.2988867363318704e-05,0.00019760339814956738,0.00020300419398834154
2.5363636363636365e-07,1.1005486921934758e-06,-1.1940583468629393e-05,0.0001900511301644957,0.00019148091988462553
2.6181818181818186e-07,3.996527303994778e-06,-1.029600481682206e-05,0.00018044166287422894,0.0001804577253629644
2.7000000000000006e-07,7.528324628352721e-06,-7.948293300461976e-06,0.00016914740256961994,0.00016992374089064253
2.781818181818182e-07,1.1762695754171094e-05,-4.779751342240244e-06,0.00015653239349520753,0.00015986756873136466
2.863636363636364e-07,1.6764410740547925e-05,-6.633976771442338e-07,0.00014294642038768085,0.00015027734118247055
2.9454545454545457e-07,2.2594053611929736e-05,4.5334653556802374e-06,0.00012871993675455398,0.0001411407786378051
3.027272727272728e-07,2.930539761385543e-05,1.0945637111142398e-05,0.00011415985103851114,0.000132445247142946
3.10909090909091e-07,3.6942324407376274e-05,1.8707710632128875e-05,9.954618105094257e-05,0.00012417781513575108
3.1909090909090913e-07,4.5535259249036006e-05,2.795259756204687e-05,8.512956686499707e-05,0.0001163253090696213
3.2727272727272733e-07,5.5097100327005944e-05,3.880908273433295e-05,7.112961409894124e-05,0.00010887436764419264
3.354545454545455e-07,6.561862854517837e-05,5.1396936881848896e-05,5.773402349948653e-05,0.00010181149438404292
3.436363636363637e-07,7.706339441079217e-05,6.581969204154996e-05,4.509844915801438e-05,9.51231083225486e-05
3.518181818181819e-07,8.936209152902293e-05,8.215649460081872e-05,3.334701670617136e-05,8.87955925811564e-05
3.6000000000000005e-07,0.0001024064417706613,0.00010045433195421955,2.2573424473963464e-05,8.281534064500462e-05
3.6818181818181825e-07,0.00011604263566823123,0.00012072059475040935,1.2842544853730501e-05,7.716880017133835e-05
3.763636363636364e-07,0.00013006439319418884,0.0001429146957796653,4.1924398871671554e-06,7.184251417943775e-05
3.845454545454546e-07,0.0001442057349246637,0.00016693746170387726,-3.3632957498023073e-06,6.682315951163984e-05
3.9272727272727276e-07,0.00015813358178288277,0.00019261819315551586,-9.83294986779489e-06,6.209758246310779e-05
4.0090909090909096e-07,0.0001714403331107036,0.0002197005269647467,-1.5243948223633696e-05,5.76528315159816e-05
4.0909090909090917e-07,0.0001836366076747581,0.00024782842587236885,-1.9640027629025998e-05,5.347618713265979e-05
4.172727272727273e-07,0.00019414437021738153,0.00027653269039256247,-2.3078397704766396e-05,4.955518858813545e-05
4.254545454545455e-07,0.0002022907070370911,0.00030521729808065715,-2.562695489535157e-05,4.587765784589041e-05
4.336363636363637e-07,0.0002073025574200015,0.0003331446872459465,-2.736160418987404e-05,4.243172050469303e-05
4.418181818181819e-07,0.00020830275298006605,0.0003594199931268937,-2.8363735339779034e-05,3.920582386303715e-05
4.500000000000001e-07,0.00020430776336848036,0.00038297539608388897,-2.8717891491355305e-05,3.6188752172082445e-05
4.5818181818181824e-07,0.00019422759345693612,0.00040255614538476194,-2.8509659318736526e-05,3.336963916452295e-05
4.6636363636363644e-07,0.00017686832285423575,0.00041670921917727087,-2.782380117181846e-05,3.073797796420758e-05
4.745454545454546e-07,0.00015093782212662537,0.0004237746594358668,-2.6742641636713873e-05,2.8283628495438273e-05
4.827272727272729e-07,0.00011505521976851621,0.00042187933085203983,-2.5344713418753052e-05,2.5996822529773963e-05
4.90909090909091e-07,6.776472797546907e-05,0.0004089335155629272,-2.370366070226461e-05,2.3868166511499788e-05
4.990909090909092e-07,7.554461516825528e-06,0.0003826317955654894,-2.1887392236286042e-05,2.1888642318965104e-05
5.072727272727273e-07,-6.711909984893011e-05,0.00034046019437895353,-1.9957471379338258e-05,2.0049606121093743e-05
5.154545454545456e-07,-0.00015780035151446113,0.0002797111741516473,-1.796872625312278e-05,1.8342785496324477e-05
5.236363636363637e-07,-0.0002659968648655624,0.00019750728101322157,-1.596905998820382e-05,1.6760274984316617e-05
5.318181818181819e-07,-0.0003931341375555109,9.083383300121208e-05,-1.3999438778892878e-05,1.5294530232427887e-05
5.400000000000001e-07,-0.0005405022342726659,-4.3418543343984344e-05,-1.2094034054378471e-05,1.3938360913950072e-05
5.481818181818183e-07,-0.0007091938364822433,-0.0002083998828257167,-1.0280494429419026e-05,1.2684922570340722e-05
5.563636363636364e-07,-0.0009000333255570477,-0.00040723323188741466,-8.580323175573155e-06,1.1527707544755083e-05
5.645454545454546e-07,-0.0011134966615934739,-0.0006429315738828551,-7.009337629837845e-06,1.0460535148009202e-05
5.727272727272728e-07,-0.0013496219934003447,-0.0009182983565879819,-5.57818815861903e-06,9.477541207565326e-06
5.80909090909091e-07,-0.001607911146837355,-0.0012358112783981885,-4.292915906853862e-06,8.57316712363524e-06
5.890909090909091e-07,-0.001887222391770102,-0.0015974889639795776,-3.1555305017341973e-06,7.74214856265535e-06
5.972727272727274e-07,-0.0021856551848837306,-0.002004739708510787,-2.1645910388532543e-06,6.979503896951968e-06
6.054545454545455e-07,-0.0025004279283772795,-0.0024581912658716335,-1.3157759763603334e-06,6.280522499812212e-06
6.136363636363637e-07,-0.002827750174335677,-0.002957501178500471,-6.02429921975071e-07,5.6407529915132525e-06
6.21818181818182e-07,-0.00316269114163289,-0.003501148245546771,-1.6077631748383005e-08,5.055991541290478e-06
6.300000000000001e-07,-0.003499046895745072,-0.004086206794233628,4.5310219304087454e-07,4.522270322618556e-06
6.381818181818183e-07,-0.003829209069737439,-0.004708105982403169,8.15848591216641e-07,4.035846246898739e-06
6.463636363636364e-07,-0.004144038573310766,-0.005360376518321381,1.0834388194076975e-06,3.593190122745278e-06
6.545454545454547e-07,-0.004432748340809938,-0.006034387499029294,1.2673591674365217e-06,3.19097645249831e-06
6.627272727272728e-07,-0.004682799801219729,-0.006719077022647989,1.3790260978292465e-06,2.8260741666817756e-06
6.70909090909091e-07,-0.004879818403966306,-0.007400681776086385,1.4295563819680965e-06,2.495538754157474e-06
6.790909090909092e-07,-0.005007534192017371,-0.008062472422346525,1.4295838048285902e-06,2.1966064956520746e-06
6.872727272727274e-07,-0.005047754064010235,-0.00868450282154371,1.3891191571848909e-06,1.926691915636944e-06
6.954545454545455e-07,-0.004980372992926929,-0.009243381901919982,1.3174495801760549e-06,1.6833902283393747e-06
7.036363636363638e-07,-0.0047834320503631,-0.00971207779600142,1.2230728910568327e-06,1.46448766206856e-06
7.118181818181819e-07,-0.004433231600006884,-0.010059765127540787,1.113662257413162e-06,1.2679844067639942e-06
7.200000000000001e-07,-0.003904508445953202,-0.010251728095051923,9.96056494769381e-07,1.0921380711457083e-06
7.281818181818182e-07,-0.003170686022477576,-0.010249333801988728,8.762713091546688e-07,9.355407592247124e-07
7.363636363636365e-07,-0.002204206860687996,-0.010010091626803708,7.5952697280863e-07,7.972507794468582e-07
7.445454545454547e-07,-0.0009769565303761366,-0.009487815184666439,6.502881841539821e-07,6.770086112680722e-07
7.527272727272728e-07,0.0005392120035140555,-0.008632903927417248,5.523121979462337e-07,5.755609999480542e-07
7.609090909090911e-07,0.002371845188744197,-0.007392762062822605,4.687017053222763e-07,4.950375697003902e-07
7.690909090909092e-07,0.004547139253620208,-0.005712373301431804,4.0195936975359946e-07,4.390304155700809e-07
7.772727272727274e-07,0.007089067684924896,-0.003535050566988036,3.540413706287881e-07,4.1152502099450585e-07
7.854545454545455e-07,0.010018380897353718,-0.0008033797184325733,3.264077614739046e-07,4.142416036882449e-07
7.936363636363638e-07,0.013351475121810098,0.002539624688230522,3.200678943521525e-07,4.445786365775663e-07
8.018181818181819e-07,0.01709912993586717,0.006549135313511852,3.356195961992998e-07,4.969486698337144e-07
8.100000000000001e-07,0.021265116737314467,0.011276885454717075,3.7328118926599057e-07,5.657707876825923e-07
8.181818181818183e-07,0.025844683847456768,0.01676928820646978,4.329158325082713e-07,6.470569461715605e-07
8.263636363636365e-07,0.030822927844410274,0.02306529260951791,5.140480092926425e-07,7.384547680288663e-07
8.345454545454546e-07,0.03617306517927136,0.03019397215326069,6.158723050171861e-07,8.38780370773812e-07
8.427272727272729e-07,0.04185462312055607,0.038171846474545454,7.372549036966299e-07,9.47584661365364e-07
8.50909090909091e-07,0.04781157459329323,0.04699994378244394,8.767284820821713e-07,1.0648619746406386e-06
8.590909090909092e-07,0.053970447502790675,0.05666061908640427,1.0324814013752054e-06,1.1908741321015706e-06
8.672727272727274e-07,0.06023844561726553,0.0671141515414194,1.2023422826245368e-06,1.3260485669740162e-06
8.754545454545456e-07,0.06650162496759067,0.07829515333884632,1.383761218577931e-06,1.4709207291773364e-06
8.836363636363638e-07,0.0726231769253782,0.09010883293760064,1.5737890025399109e-06,1.6261024616498008e-06
8.918181818181819e-07,0.07844187653913029,0.10242716723387739,1.7690558717008184e-06,1.792265621564629e-06
9.000000000000002e-07,0.0837707622148921,0.11508505030053452,1.9657513466167092e-06,1.970134723950912e-06
9.081818181818183e-07,0.08839612026996026,0.12787650012819735,2.15960681722682e-06,2.1604849830974034e-06
9.163636363636365e-07,0.09207685508628849,0.14055101899614147,2.3458825700192284e-06,2.3641436354480943e-06
9.245454545454547e-07,0.09454433233764505,0.15281021762062963,2.5193609789450593e-06,2.5819932972351403e-06
9.327272727272729e-07,0.0955027888271067,0.1643048281835079,2.674347585599352e-06,2.81497662454522e-06
9.40909090909091e-07,0.09463040758784008,0.1746322466979191,2.8046817808326253e-06,3.0641018527687645e-06
9.490909090909092e-07,0.09158116078303057,0.18333476050614775,2.9037587589996053e-06,3.330448968940186e-06
9.572727272727274e-07,0.08598752527884879,0.18989863131793788,2.964564354354359e-06,3.615176379863311e-06
9.654545454545457e-07,0.07746417622464176,0.1937542173917915,2.9797242818252552e-06,3.919528005645705e-06
9.736363636363637e-07,0.06561276220681322,0.19427732979228246,2.9415691814485084e-06,4.244840754149412e-06
9.81818181818182e-07,0.05002786118365493,0.1907920268704777,2.84221672436583e-06,4.592552367395149e-06
9.9e-07,0.03030420908779205,0.18257505786323946,2.6736718469575954e-06,4.964209625289926e-06
9.981818181818183e-07,0.006045282330826618,0.16886217010876145,2.4279459685657837e-06,5.361476909269605e-06
1.0063636363636366e-06,-0.023126698900046202,0.148856493856743,2.097195782723591e-06,5.786145122530724e-06
1.0145454545454546e-06,-0.05755929804437296,0.12173921302652592,1.6738819205915058e-06,6.240140970866791e-06
1.0227272727272729e-06,-0.09755689449137916,0.08668271879361492,1.1509474379556991e-06,6.725536603471589e-06
1.0309090909090911e-06,-0.1433662223988378,0.04286642506795729,5.220156982174128e-07,7.2445596153212015e-06
1.0390909090909092e-06,-0.19516044977878738,-0.010504599720645005,-2.1839320621212547e-07,7.799603415181335e-06
1.0472727272727274e-06,-0.25302186880838273,-0.07417806230062989,-1.0746288200035186e-06,8.393237965456973e-06
1.0554545454545457e-06,-0.3169233105703161,-0.14882985411157634,-2.049661312973235e-06,9.028220898266915e-06
1.0636363636363637e-06,-0.38670844469920845,-0.23503640911001863,-3.144819475215578e-06,9.707509022529785e-06
1.071818181818182e-06,-0.46207117655972657,-0.3332440380516233,-4.359518681734946e-06,1.0434270235542614e-05
1.0800000000000002e-06,-0.5425344113288192,-0.4437353373727757,-5.690982399306485e-06,1.1211895859184658e-05
1.0881818181818183e-06,-0.6274285152697018,-0.5665928507297456,-7.133961437348839e-06,1.204401342657182e-05
1.0963636363636366e-06,-0.715869868977018,-0.701660251227348,-8.68045578421785e-06,1.2934499949812588e-05
1.1045454545454548e-06,-0.8067399746706123,-0.8485014124218981,-1.0319444516665798e-05,1.3887495703858272e-05
1.1127272727272729e-06,-0.8986656487579406,-1.0063578461675682,-1.2036629898029084e-05,1.4907418567665193e-05
1.1209090909090911e-06,-0.9900009007091608,-1.174105104676375,-1.3814202400686155e-05,1.599897897431632e-05
1.1290909090909092e-06,-1.0788111684200008,-1.3502088716009957,-1.5630633950669694e-05,1.7167195513489564e-05
1.1372727272727274e-06,-1.1628606470878737,-1.5326816009251516,-1.7460507224952184e-05,1.8417411253954692e-05
1.1454545454545457e-06,-1.2396035113903758,-1.7190407011484399,-1.9274389270564315e-05,1.9755310835898622e-05
1.1536363636363637e-06,-1.3061798874164101,-1.9062694037177679,-2.1038758087347536e-05,2.1186938409253644e-05
1.161818181818182e-06,-1.3594174791374511,-2.0907815965951038,-2.2715991059184594e-05,2.2718716477360847e-05
1.1700000000000002e-06,-1.3958397918113141,-2.2683920433912026,-2.4264424257250733e-05,2.435746572437701e-05
