a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601,d_m=0.005
time_s,source_pressure_pa,receiver_pressure_pa,piezo_voltage_v,piezo_voltage_envelope_v
0.0,-3.288750973294648e-27,0.0,3.777076831437788e-10,3.885487826300923e-10
8.181818181818183e-09,-7.07951631223943e-14,0.0,3.5524686446820805e-10,3.772921969688702e-10
1.6363636363636366e-08,-1.5916932973384494e-13,-1.8932506997845677e-28,3.296082433619432e-10,3.661022411767198e-10
2.4545454545454547e-08,-2.673722001025937e-13,-4.075498364310158e-15,3.013193808591949e-10,3.549897535426892e-10
3.272727272727273e-08,-3.9768922442694993e-13,-2.3673407125707428e-14,2.7092047296591115e-10,3.4396535189078673e-10
4.090909090909092e-08,-5.523854630169168e-13,-7.464816590187895e-14,2.3895501562146916e-10,3.330394053288924e-10
4.9090909090909095e-08,-7.336352363128094e-13,-1.6830614282787808e-13,2.0596082590025365e-10,3.222220069090887e-10
5.727272727272728e-08,-9.434358746979229e-13,-3.0343908668117707e-13,1.7246157197150853e-10,3.1152294733572325e-10
6.545454545454546e-08,-1.1835038963674026e-12,-4.670513279215484e-13,1.3895894859719909e-10,3.009516898493834e-10
7.363636363636364e-08,-1.455152011956627e-12,-6.446485390949636e-13,1.0592561681545016e-10,2.90517346409121e-10
8.181818181818183e-08,-1.7591454882780266e-12,-8.323451655358512e-13,7.379900642424706e-11,2.8022865528714756e-10
9.000000000000001e-08,-2.0955366123792803e-12,-1.040690217591965e-12,4.2976058451121406e-11,2.700939601809384e-10
9.818181818181819e-08,-2.4634762940730298e-12,-1.2867032728273823e-12,1.3808962517233441e-11,2.601211909396312e-10
1.0636363636363638e-07,-2.8610022436276147e-12,-1.5806589708064078e-12,-1.3398078589062424e-11,2.503178459896972e-10
1.1454545454545456e-07,-3.284803675445442e-12,-1.9187243332320964e-12,-3.839104718799175e-11,2.4069097653633793e-10
1.2272727272727275e-07,-3.729963132459318e-12,-2.2874070046404543e-12,-6.096728353608397e-11,2.3124717260444473e-10
1.3090909090909093e-07,-4.189676813644274e-12,-2.6753933690189643e-12,-8.097566535268023e-11,2.219925509718486e-10
1.390909090909091e-07,-4.6549557318551714e-12,-3.08199192409822e-12,-9.831584500455773e-11,2.12932745038042e-10
1.4727272727272728e-07,-5.114311143408543e-12,-3.514695599438659e-12,-1.1293661212434246e-10,2.0407289665561065e-10
1.554545454545455e-07,-5.5534289849296165e-12,-3.978251025077693e-12,-1.2483346394611097e-10,1.9541764994423023e-10
1.6363636363636367e-07,-5.954839535026654e-12,-4.465095545417891e-12,-1.3404547760999626e-10,1.869711470912241e-10
1.7181818181818185e-07,-6.297590193101097e-12,-4.955427905724032e-12,-1.4065158795157213e-10,1.7873702613464972e-10
1.8000000000000002e-07,-6.556931135645915e-12,-5.4261844956564685e-12,-1.4476638076301465e-10,1.70718420709201e-10
1.881818181818182e-07,-6.704025667119672e-12,-5.860144720644115e-12,-1.4653551518074273e-10,1.6291796172843724e-10
1.9636363636363638e-07,-6.705699317018806e-12,-6.246574107161892e-12,-1.461308897750814e-10,1.5533778096094504e-10
2.0454545454545458e-07,-6.524244128723494e-12,-6.572830038900519e-12,-1.4374566521455185e-10,1.479795164523925e-10
2.1272727272727276e-07,-6.1172971119581496e-12,-6.814651355970921e-12,-1.3958925223821883e-10,1.4084431973205148e-10
2.2090909090909094e-07,-5.437814452123758e-12,-6.933820362459042e-12,-1.338823673284608e-10,1.3393286473365882e-10
2.2909090909090912e-07,-4.434165737796307e-12,-6.884849360771143e-12,-1.2685225021312373e-10,1.2724535835280915e-10
2.372727272727273e-07,-3.0503751210883006e-12,-6.624014247736962e-12,-1.1872812745999328e-10,1.2078155255549186e-10
2.454545454545455e-07,-1.226538889092896e-12,-6.112159185092314e-12,-1.0973699527961366e-10,1.1454075794149893e-10
2.5363636363636365e-07,1.1005486921934757e-12,-5.3088056617957225e-12,-1.0009978259565233e-10,1.0852185866466637e-10
2.6181818181818186e-07,3.996527303994778e-12,-4.163339596500703e-12,-9.00279428041555e-11,1.0272332860237933e-10
2.7000000000000006e-07,7.528324628352722e-12,-2.611722377342886e-12,-7.972050978793627e-11,9.714324866619644e-11
2.781818181818182e-07,1.1762695754171094e-11,-5.819451389324991e-13,-6.936164099353034e-11,9.177932513628113e-11
2.863636363636364e-07,1.6764410740547924e-11,1.996607186945922e-12,-5.911865803357778e-11,8.662890890293546e-11
2.9454545454545457e-07,2.2594053611929735e-11,5.188017940430724e-12,-4.914058360663916e-11,8.168901549762979e-11
