a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
0.0,-3.288750973294648e-27,0.0,0.00018568557947118807
8.181818181818183e-09,-7.07951631223943e-14,0.0,0.0001749624825481784
1.6363636363636366e-08,-1.5916932973384494e-13,-1.8932506997845677e-28,0.00015352057435396563
2.4545454545454547e-08,-2.673722001025937e-13,-4.075498364310158e-15,0.0001441653148626979
3.272727272727273e-08,-3.9768922442694993e-13,-2.3673407125707428e-14,0.00013035720255306292
4.090909090909092e-08,-5.523854630169168e-13,-7.464816590187895e-14,0.00012340407255384927
4.9090909090909095e-08,-7.336352363128094e-13,-1.6830614282787808e-13,0.00011339836170479466
5.727272727272728e-08,-9.434358746979229e-13,-3.0343908668117707e-13,0.00010807825658937422
6.545454545454546e-08,-1.1835038963674026e-12,-4.670513279215484e-13,0.00010037152003770394
7.363636363636364e-08,-1.455152011956627e-12,-6.446485390949636e-13,9.618259907786224e-05
8.181818181818183e-08,-1.7591454882780266e-12,-8.323451655358512e-13,9.001185483111681e-05
9.000000000000001e-08,-2.0955366123792803e-12,-1.040690217591965e-12,8.663728696452546e-05
9.818181818181819e-08,-2.4634762940730298e-12,-1.2867032728273823e-12,8.155890274021664e-05
1.0636363636363638e-07,-2.8610022436276147e-12,-1.5806589708064078e-12,7.87904019746519e-05
1.1454545454545456e-07,-3.284803675445442e-12,-1.9187243332320964e-12,7.45233567217754e-05
1.2272727272727275e-07,-3.729963132459318e-12,-2.2874070046404543e-12,7.221826648442205e-05
1.3090909090909093e-07,-4.189676813644274e-12,-2.6753933690189643e-12,6.85736220835829e-05
1.390909090909091e-07,-4.6549557318551714e-12,-3.08199192409822e-12,6.663077977043075e-05
1.4727272727272728e-07,-5.114311143408543e-12,-3.514695599438659e-12,6.347577409762958e-05
1.554545454545455e-07,-5.5534289849296165e-12,-3.978251025077693e-12,6.182134141161579e-05
1.6363636363636367e-07,-5.954839535026654e-12,-4.465095545417891e-12,5.9059435793398856e-05
1.7181818181818185e-07,-6.297590193101097e-12,-4.955427905724032e-12,5.763820366715584e-05
1.8000000000000002e-07,-6.556931135645915e-12,-5.4261844956564685e-12,5.519724446759694e-05
1.881818181818182e-07,-6.704025667119672e-12,-5.860144720644115e-12,5.396708364850374e-05
1.9636363636363638e-07,-6.705699317018806e-12,-6.246574107161892e-12,5.179190938631594e-05
2.0454545454545458e-07,-6.524244128723494e-12,-6.572830038900519e-12,5.072010637982422e-05
2.1272727272727276e-07,-6.1172971119581496e-12,-6.814651355970921e-12,4.8767736929768966e-05
2.2090909090909094e-07,-5.437814452123758e-12,-6.933820362459042e-12,4.782850330841532e-05
2.2909090909090912e-07,-4.434165737796307e-12,-6.884849360771143e-12,4.6064901633246415e-05
2.372727272727273e-07,-3.0503751210883006e-12,-6.624014247736962e-12,4.523763795893011e-05
2.454545454545455e-07,-1.226538889092896e-12,-6.112159185092314e-12,4.363546742981914e-05
2.5363636363636365e-07,1.1005486921934757e-12,-5.3088056617957225e-12,4.2903526183024946e-05
2.6181818181818186e-07,3.996527303994778e-12,-4.163339596500703e-12,4.144055909674407e-05
2.7000000000000006e-07,7.528324628352722e-12,-2.611722377342886e-12,4.079034608185036e-05
2.781818181818182e-07,1.1762695754171094e-11,-5.819451389324991e-13,3.944831052286544e-05
2.863636363636364e-07,1.6764410740547924e-11,1.996607186945922e-12,3.886862111380828e-05
2.9454545454545457e-07,2.2594053611929735e-11,5.188017940430724e-12,3.7632349982786494e-05
3.027272727272728e-07,2.930539761385543e-11,9.052653757114111e-12,3.711387120428273e-05
3.10909090909091e-07,3.694232440737627e-11,1.3653846531489105e-11,3.597066382889877e-05
3.1909090909090913e-07,4.5535259249036e-11,1.906052494694223e-11,3.550559571311695e-05
3.2727272727272733e-07,5.509710032700594e-11,2.534151763983632e-11,3.444473212978887e-05
3.354545454545455e-07,6.561862854517836e-11,3.255477709330218e-11,3.4026496396339265e-05
3.436363636363637e-07,7.706339441079217e-11,4.073904503611599e-11,3.303886302521721e-05
3.518181818181819e-07,8.936209152902292e-11,4.991256642038995e-11,3.266187631139199e-05
3.6000000000000005e-07,1.024064417706613e-10,6.007626016655856e-11,3.17396739267816e-05
3.6818181818181825e-07,1.1604263566823122e-10,7.121413446118168e-11,3.1399169417109975e-05
3.763636363636364e-07,1.3006439319418885e-10,8.328598994978107e-11,3.053568300686064e-05
3.845454545454546e-07,1.4420573492466368e-10,9.621433031943116e-11,3.0227568982902457e-05
3.9272727272727276e-07,1.5813358178288276e-10,1.0987234199957454e-10,2.9416984670415037e-05
4.0090909090909096e-07,1.714403331107036e-10,1.240782135166507e-10,2.9137731264760418e-05
4.0909090909090917e-07,1.8363660767475812e-10,1.3859458914600773e-10,2.8374989198048404e-05
4.172727272727273e-07,1.9414437021738156e-10,1.5312681462336786e-10,2.8121536925220096e-05
4.254545454545455e-07,2.0229070703709112e-10,1.6731468027267024e-10,2.7402212170112737e-05
4.336363636363637e-07,2.073025574200015e-10,1.8071852199300982e-10,2.717189764851212e-05
4.418181818181819e-07,2.0830275298006603e-10,1.9280592829623998e-10,2.649210308294032e-05
4.500000000000001e-07,2.0430776336848037e-10,2.0294488144990231e-10,2.6282598202135095e-05
4.5818181818181824e-07,1.942275934569361e-10,2.104034717312372e-10,2.5638904605454997e-05
4.6636363636363644e-07,1.7686832285423576e-10,2.1435087734478237e-10,2.544816627275893e-05
4.745454545454546e-07,1.509378221266254e-10,2.1385428759049075e-10,2.4837536173032886e-05
4.827272727272729e-07,1.1505521976851621e-10,2.0787182844528045e-10,2.466376467753176e-05
4.90909090909091e-07,6.776472797546908e-11,1.9524718847282233e-10,2.4083497317361005e-05
4.990909090909092e-07,7.554461516825527e-12,1.7471224066300481e-10,2.39251015545424e-05
5.072727272727273e-07,-6.711909984893011e-11,1.4489907127232494e-10,2.3372786664798182e-05
5.154545454545456e-07,-1.5780035151446115e-10,1.0435721465695035e-10,2.3228354810266005e-05
5.236363636363637e-07,-2.659968648655624e-10,5.157091769197568e-11,2.270183359425078e-05
5.318181818181819e-07,-3.931341375555109e-10,-1.5024200514074344e-11,2.2570108377055166e-05
5.400000000000001e-07,-5.40502234272666e-10,-9.70200390709861e-11,2.2067440507909823e-05
5.481818181818183e-07,-7.091938364822433e-10,-1.9600396866986106e-10,2.194729822440073e-05
5.563636363636364e-07,-9.000333255570478e-10,-3.135134837998782e-10,2.1466733660366824e-05
5.645454545454546e-07,-1.1134966615934738e-09,-4.509808960068147e-10,2.1357166187592976e-05
5.727272727272728e-07,-1.3496219934003446e-09,-6.096733018323275e-10,2.089712104145745e-05
5.80909090909091e-07,-1.607911146837355e-09,-7.90629457631109e-10,2.07972205310108e-05
5.890909090909091e-07,-1.887222391770102e-09,-9.945896840784217e-10,2.0356256500736266e-05
5.972727272727274e-07,-2.1856551848837307e-09,-1.2219128812371969e-09,2.026520237080413e-05
6.054545454545455e-07,-2.500427928377279e-09,-1.472478201842333e-09,1.9842009106663537e-05
6.136363636363637e-07,-2.8277501743356767e-09,-1.7455747231627651e-09,1.975905694677977e-05
6.21818181818182e-07,-3.16269114163289e-09,-2.039785265140343e-09,1.9352437025389724e-05
6.300000000000001e-07,-3.499046895745072e-09,-2.3528679607072216e-09,1.9276909392285762e-05
6.381818181818183e-07,-3.829209069737439e-09,-2.6816340864318962e-09,1.8885765791194176e-05
6.463636363636364e-07,-4.1440385733107665e-09,-3.0218182388673286e-09,1.8817044797900188e-05
6.545454545454547e-07,-4.432748340809937e-09,-3.3679398609561377e-09,1.844037057693954e-05
6.627272727272728e-07,-4.6827998012197294e-09,-3.7131609832431434e-09,1.8377892099194792e-05
6.70909090909091e-07,-4.879818403966306e-09,-4.049148722607577e-09,1.801476218746552e-05
6.790909090909092e-07,-5.007534192017371e-09,-4.365949632204711e-09,1.7958011817322582e-05
6.872727272727274e-07,-5.047754064010235e-09,-4.6518784245712985e-09,1.7607576997757878e-05
6.954545454545455e-07,-4.9803729929269295e-09,-4.89342087666386e-09,1.7556087787664795e-05
7.036363636363638e-07,-4.7834320503631e-09,-5.075153047255335e-09,1.72175707314504e-05
7.118181818181819e-07,-4.433231600006884e-09,-5.179684653926952e-09,1.717092260468568e-05
7.200000000000001e-07,-3.904508445953202e-09,-5.187638716723628e-09,1.6843615885329062e-05
7.281818181818182e-07,-3.170686022477576e-09,-5.077678953190969e-09,1.6801436807439503e-05
7.363636363636365e-07,-2.204206860687996e-09,-4.826592132856522e-09,1.6484702955686956e-05
7.445454545454547e-07,-9.769565303761368e-10,-4.409429307726762e-09,1.6446671824256655e-05
7.527272727272728e-07,5.392120035140555e-10,-3.799711102165343e-09,1.6139945159412398e-05
7.609090909090911e-07,2.3718451887441973e-09,-2.9697071610365957e-09,1.6105796076461186e-05
7.690909090909092e-07,4.547139253620207e-09,-1.8908039131461033e-09,1.580858597406999e-05
7.772727272727274e-07,7.089067684924897e-09,-5.339742039381265e-10,1.577811364447265e-05
7.854545454545455e-07,1.0018380897353718e-08,1.1296424325236543e-09,1.5490008917790642e-05
7.936363636363638e-07,1.3351475121810098e-08,3.128044830585589e-09,1.5463074684042873e-05
8.018181818181819e-07,1.709912993586717e-08,5.48755736962325e-09,1.518374831352966e-05
8.100000000000001e-07,2.126511673731447e-08,8.231893174149436e-09,1.5160285889817732e-05
8.181818181818183e-07,2.584468384745677e-08,1.1381084729005244e-08,1.4889499080060805e-05
8.263636363636365e-07,3.082292784441027e-08,1.4950275229637365e-08,1.4869518970216024e-05
8.345454545454546e-07,3.617306517927136e-08,1.89483705661104e-08,1.460712341894679e-05
8.427272727272729e-07,4.185462312055607e-08,2.3376559291942253e-08,1.4590714694845546e-05
8.50909090909091e-07,4.7811574593293225e-08,2.8226712159400824e-08,1.4336651441630363e-05
8.590909090909092e-07,5.397044750279068e-08,3.347967332616004e-08,1.4323979039567888e-05
8.672727272727274e-07,6.023844561726553e-08,3.9103455721860846e-08,1.4078271947927883e-05
8.754545454545456e-07,6.650162496759066e-08,4.505135749356392e-08,1.4069567557040303e-05
8.836363636363638e-07,7.262317692537819e-08,5.1260025728856514e-08,1.3832309475173067e-05
8.918181818181819e-07,7.844187653913029e-08,5.7647504451731156e-08,1.3827853975499817e-05
9.000000000000002e-07,8.37707622148921e-08,6.411131191517029e-08,1.3599183367008307e-05
9.081818181818183e-07,8.839612026996024e-08,7.052659628519653e-08,1.3599278581352881e-05
9.163636363636365e-07,9.207685508628849e-08,7.6744421866163e-08,1.3379344518298072e-05
9.245454545454547e-07,9.454433233764506e-08,8.259024419855447e-08,1.3384272502244283e-05
9.327272727272729e-07,9.550278882710669e-08,8.786264293776654e-08,1.3173186606898732e-05
9.40909090909091e-07,9.463040758784007e-08,9.233239347119745e-08,1.3183155427656655e-05
9.490909090909092e-07,9.158116078303057e-08,9.574196730079693e-08,1.298093008095422e-05
9.572727272727274e-07,8.598752527884879e-08,9.780555540526995e-08,1.2996005892650902e-05
9.654545454545457e-07,7.746417622464175e-08,9.820971032569806e-08,1.280247925605457e-05
9.736363636363637e-07,6.561276220681322e-08,9.661470554705558e-08,1.2822506088432465e-05
9.81818181818182e-07,5.002786118365493e-08,9.265671650916031e-08,1.2637256393016799e-05
9.9e-07,3.0304209087792055e-08,8.595093375624377e-08,1.2661766947792851e-05
9.981818181818183e-07,6.045282330826617e-09,7.609572078297453e-08,1.2484020291772739e-05
1.0063636363636366e-06,-2.31266989000462e-08,6.26779245131276e-08,1.251214268566811e-05
1.0145454545454546e-06,-5.7559298044372954e-08,4.5279436577100075e-08,1.2340680306665799e-05
1.0227272727272729e-06,-9.755689449137916e-08,2.3485092383615244e-08,1.2371047448839387e-05
1.0309090909090911e-06,-1.433662223988378e-07,-3.108015570103061e-09,1.2204120077130626e-05
1.0390909090909092e-06,-1.9516044977878737e-07,-3.4879745610747766e-08,1.2234789576522052e-05
1.0472727272727274e-06,-2.5302186880838275e-07,-7.217458913689708e-08,1.2070047072145304e-05
1.0554545454545457e-06,-3.169233105703161e-07,-1.1528780662907671e-07,1.2098439674924647e-05
1.0636363636363637e-06,-3.8670844469920846e-07,-1.64450030773601e-07,1.193288380848699e-05
1.071818181818182e-06,-4.620711765597265e-07,-2.198103878445876e-07,1.1955747937728617e-05
1.0800000000000002e-06,-5.425344113288192e-07,-2.8141822748554397e-07,1.1785715363043748e-05
1.0881818181818183e-06,-6.274285152697018e-07,-3.492035922910275e-07,1.179912441725111e-05
1.0963636363636366e-06,-7.15869868977018e-07,-4.229566058676625e-07,1.162030541152285e-05
1.1045454545454548e-06,-8.067399746706124e-07,-5.023060141143201e-07,1.1619693240411214e-05
1.1127272727272729e-06,-8.986656487579406e-07,-5.86697178233964e-07,1.1427190559435496e-05
1.1209090909090911e-06,-9.90000900709161e-07,-6.753698852828718e-07,1.1407430369718811e-05
1.1290909090909092e-06,-1.0788111684200009e-06,-7.673364090986478e-07,1.1195862964719134e-05
1.1372727272727274e-06,-1.1628606470878737e-06,-8.613603208121677e-07,1.1151396820507586e-05
1.1454545454545457e-06,-1.2396035113903758e-06,-9.55936616326681e-07,1.0915055999704502e-05
1.1536363636363637e-06,-1.30617988741641e-06,-1.0492738001070843e-06,1.0840087256436844e-05
1.161818181818182e-06,-1.3594174791374513e-06,-1.1392786387138153e-06,1.0573160313405268e-05
1.1700000000000002e-06,-1.395839791811314e-06,-1.2235443686456937e-06,1.0461933149070161e-05
1.1781818181818183e-06,-1.4116819190072067e-06,-1.2993432059422307e-06,1.0158826043027676e-05
1.1863636363636365e-06,-1.4029148682138856e-06,-1.3636240573722459e-06,1.0006040580980144e-05
1.1945454545454548e-06,-1.3652793894257138e-06,-1.413016375752018e-06,9.661865304583477e-06
1.2027272727272728e-06,-1.2943302388176462e-06,-1.443841135891313e-06,9.463326283087795e-06
1.210909090909091e-06,-1.1854917527391015e-06,-1.4521299305422245e-06,9.074690570641791e-06
1.2190909090909094e-06,-1.034125522950087e-06,-1.4336531916730436e-06,8.828392853745194e-06
1.2272727272727274e-06,-8.356108495879372e-07,-1.3839585249670735e-06,8.394789377570145e-06
1.2354545454545457e-06,-5.854385012877014e-07,-1.2984201010336561e-06,8.10287581494339e-06
